CAMINO BORJA, 29;03006;Alicante;ES;3,6615;0;0;DISTRIBUCIONES ALBEN 2009, S.L
CTRA MONOVAR S/N;03600;Elda;ES;0;1,5345;0;DISTRIBUCIONES NOGUERAS S.L.
C/ PERE MARIA ORTS - LOCAL 1;03510;Callosa D'en Sarriá;ES;1,8138;0;0;DOMENECH SOLBES, DOMINGO
POL. INDSTRIAL PUENTE ALTO C/ Nº 3;03300;Orihuela;ES;0;2,568;0;DRYVEGA SL
CL FRANCISCO SANTAMARIA, 36;03130;Santa Pola;ES;7,03114;5,3705;0;EL PASEO SANTA POLA,S.L.
BENIMANTELL Nº 17;03509;Finestrat;ES;0;3,6;0;ENYOY S.L.
CTRA. SAN MIGUEL - ORIHUELA KM1;03193;San Miguel Salinas;ES;0;1,77;0;EXCLUSIVA VERA S. L.
CL GERONA, 16 LOC.1;03503;Benidorm;ES;0,68224;0;0;FERRETERIA AVENIDA S.C.
CAPELLETES Nº 40;03726;Benitachell;ES;0;1,7975;0;FILLS DE MARQUES EL DELS MOBLES S.L.
CL VIRGEN DEL CARMEN, 1;03560;El Campello;ES;0,66;0;0;FUSIONE ROMANA,S.L.
POL.IND.FLORIDA -CL RIOJA 8;03006;Alicante;ES;5,63;42,34307;5,434;GESTION COMERCIAL CODILE,S.L.
CTRA. CABO LA NAO, 1;03730;Xabia;ES;3,2412;0;0;GIE, KIM MARGARET
CTRA. LAS DOLORES SAN FUNGELCIO, 5;03150;Dolores;ES;3,495;4,55;0;GRUPO JAENMA LA MARINA, S.L.
AVDA. CARTAGENA 59;03195;El Altet;ES;0;0,6282;0;GRUPO LA BARO S.L.
AVDA- MAESTRO JOSE GARBERI SERRANO Nº 10  LOCAL 5 ;03540;Alicante;ES;2,5476;0;0;GRUPO MELECIA S.L.
CL APEROS, 6;03680;Aspe;ES;7,4254;0,744;0,3052;HERPAL PUBLICIDAD,S.L.
C/ SAN JUAN BOSCO, 34;03804;Alcoy;ES;0,6882;3,075;0;HF DISEÑOS. S.L.U.
CL BARRERA, 38;03410;Biar;ES;0,2411;0;0;HIJOS DE REMIGIO SANCHIS,S.L.
VIA EMILIO ORTUÑO,6;03501;Benidorm;ES;40,81713;184,30278;150,54607;IDEAS UNIDAS S.L.
CL ALICANTE, 94 PUERTA L19;03690;San Vicente del Raspeig;ES;0;0,082;0;ITASANVIC,S.L.
MECANICOS, 52 POL-II;03130;Santa Pola;ES;0;0;1,8;JOSE RAMON BAILE, S.L.
AVD. L´AIGÜERA, 5, LOCAL A LC1;03501;Benidorm;ES;0;2,662;0;JOSEP LLORCA CONSTRUCCIONES SLU
POL. LA PEDRERA;03720;Benissa;ES;0,05516;0;0;JU-JU-JU AQUA CENTER. S.L.
CL JADE S/N;03189;Orihuela-Costa;ES;0;0;7,594;LEROY MERLIN,S.A.- LA ZENIA
C/ PORCHE, 6;03724;Moraira;ES;0,06432;0;0;MARCO GALVEZ, JAVIER
CTRA VALENCIA KM 121,3;03560;EL CAMPELLO;ES;1,91115;0;0;MARHUENDA SPAIN,S.A.
BURDEOS, N.2;03730;Xabia;ES;0;0;0,667;MARINA NOU FONTANA, S.L.
CAMINO DE LA SIERRA, NAVE 3;03350;Cox;ES;0,894;2,988;0;MATEO PASTOR, FRANCISCO
C/ PI Y MARGALL, 38 - ENTRESUELO  APDO 28;03600;Elda;ES;2,09418;0,679;0;MAY PROMOCIONES, S.L.
AVDA DEL PORT S/N;03590;Altea;ES;0;4,34;0;MEDITERRANEA JET NAUTICA S.L.
MAYOR, 9;03780;PEGO;ES;-0,12;0;0;MIRALLES MATEU, RAQUEL
AVD-DEPORTISTA ISABEL FERNANDEZ, 1 CARLA;03005;Alicante;ES;1,7705;0;0;MONASTERIO LIMPIAS, CARLA GABRIELA
C/ CONSTITUCIÓN, 9;03110;Mutxamel;ES;0;0,0375;0,285;MORANT GALIANA, PABLO
AV. MADRID S/N EDIF. BERNIA;03710;Calpe;ES;2,61317;3,787;1,96278;MUEBLES AITANA, S.L.
CAMINO DE LA ESTACION;03330;Crevillente;ES;6,57393;3,90665;0;MUEBLES JOVICAL, S.L.
AVDA DEL PLA, 4;03730;Xabia;ES;1,03995;5,7968;1,92;PONS BARRERA, DAMIAN
MARUJA PASTOR Nº 2;03540;Alicante;ES;0;1,876;0;PROLOGO COFFEE & EVENTS O.E
CARRETERA BARRANC DEL MONYO 92;03700;Denia;ES;0;3,564;0;QUINTO PINO LAS ROTAS S.L.
C/ ARTURO, 19 - 1º DERECHA;03007;Alicante;ES;0,7188;0;0;RACO EXPLANADA, S.L.
C/ DR. CALATAYUD, 41;03724;Moraira;ES;2,52976;1,771;1,2415;REGALOS Y MUEBLES VICENTE FERRE, C.B.
C/ SAN JOSE Nº 78;03140;Guardamar del Segura;ES;0;2,3625;0;ROSARIO MARTINEZ IBORRA S.L.
P.I.LA BULILLA CL EMBALADORAS, 8;03400;Villena;ES;0;0;0,9312;SANCHEZ PASCUAL DISTRIBUCION DE BEBIDAS,.SL.
C/ PICARDO Nº 12;03700;Denia;ES;0;5,382;0;SELLESMAR, S.L.
Calle Virgen del Socorro 29, Bajo;03002;Alicante;ES;0,3032;0;0;TONO LLEDÓ INTERIORISTAS S.L. 
CL CURTIDORES, 32;03203;Elche;ES;76,59647;68,14164;13,42656;TORRES MANCHEÑO,S.L.
